/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,16,16,10,0,3,3,26.17575430870056,37.517357,2.9346137233172787
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,16,16,10,1,3,3,26.10964584350586,37.454971,3.3281639049322855
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,16,16,10,2,3,3,24.252846240997314,37.098378,3.806338588315826
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,16,16,10,3,3,3,23.751357793807983,35.737322,4.3771910446414495
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,16,16,10,0,4,4,25.314130306243896,30.612376,3.1071392480811477
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,16,16,10,1,4,4,24.754865646362305,30.599580,3.5518291304269898
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,16,16,10,2,4,4,24.490751028060913,30.523586,4.101743427018087
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,16,16,10,3,4,4,23.45833158493042,30.185362,4.772446890833638
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,16,16,10,4,4,4,22.073485374450684,28.952538,5.3002523472812175
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,16,16,60,0,0,0,32.475881814956665,inf,1.861576613167859
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,16,16,60,0,1,1,29.762025117874146,52.902399,2.1751709116644893
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,16,16,60,1,1,1,29.350616693496704,51.141479,2.383996805451306
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,16,16,60,0,2,2,28.335034132003784,44.449810,2.572747399342224
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,16,16,60,1,2,2,26.90370774269104,44.150283,2.870105950691522
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,16,16,60,2,2,2,26.957759618759155,42.689350,3.219054420491561
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,16,16,60,0,3,3,26.61020827293396,37.540351,2.93880771234646
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,16,16,60,1,3,3,25.36753535270691,37.477630,3.3332921173698185
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,16,16,60,2,3,3,24.994544982910156,37.119193,3.813377258281791
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,16,16,60,3,3,3,24.297943592071533,35.753093,4.383548932183273
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,16,16,60,0,4,4,25.876298189163208,30.702571,3.1162229959944
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,16,16,60,1,4,4,25.395006895065308,30.689506,3.5633988192349286
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,16,16,60,2,4,4,24.715805292129517,30.611924,4.117564892727662
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,16,16,60,3,4,4,23.48822808265686,30.267178,4.790352406711557
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,16,16,60,4,4,4,21.97245454788208,29.023878,5.3247347683955
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,16,24,10,0,0,0,31.708879470825195,inf,1.8589628432335241
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,16,24,10,0,1,1,29.66064190864563,52.902843,2.1714686659582685
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,16,24,10,1,1,1,29.139111280441284,51.141896,2.3796859000546515
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,16,24,10,0,2,2,28.117164373397827,44.450376,2.5677536646392998
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,16,24,10,1,2,2,27.473819971084595,44.150836,2.8640889679546606
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,16,24,10,2,2,2,25.469966888427734,42.689939,3.2112529041751046
